week_start,forecast_demand,forecast_lower,Category Name_x,model_used,Category Name_y,units_demand,Category Name,forecast_upper,forcast_lower,is_forecast
2017-10-02,82.0,82.0,,MovingAverage,,82.0,Baby ,82.0,,False
2017-12-11,51.0,51.0,,MovingAverage,,51.0,Baby ,51.0,,False
2017-12-18,74.0,74.0,,MovingAverage,,74.0,Baby ,74.0,,False
2017-12-31,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-01-07,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-01-14,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-01-21,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-01-28,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-02-04,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-02-11,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-02-18,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-02-25,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-03-04,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-03-11,89.7,,,MovingAverage,,,Baby ,,48.3,True
2018-03-18,89.7,,,MovingAverage,,,Baby ,,48.3,True
2017-09-11,25.0,25.0,,MovingAverage,,25.0,Basketball,25.0,,False
2017-09-18,18.0,18.0,,MovingAverage,,18.0,Basketball,18.0,,False
2017-09-25,21.0,21.0,,MovingAverage,,21.0,Basketball,21.0,,False
2017-10-02,3.0,3.0,,MovingAverage,,3.0,Basketball,3.0,,False
2017-10-15,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-10-22,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-10-29,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-11-05,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-11-12,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-11-19,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-11-26,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-12-03,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-12-10,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-12-17,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-12-24,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-12-31,21.775000000000002,,,MovingAverage,,,Basketball,,11.725,True
2017-10-02,308.0,308.0,,MovingAverage,,308.0,Books ,308.0,,False
2017-12-11,97.0,97.0,,MovingAverage,,97.0,Books ,97.0,,False
2017-12-24,263.25,,,MovingAverage,,,Books ,,141.75,True
2017-12-31,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-01-07,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-01-14,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-01-21,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-01-28,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-02-04,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-02-11,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-02-18,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-02-25,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-03-04,263.25,,,MovingAverage,,,Books ,,141.75,True
2018-03-11,263.25,,,MovingAverage,,,Books ,,141.75,True
2017-10-02,54.0,54.0,,MovingAverage,,54.0,CDs ,54.0,,False
2017-10-09,79.0,79.0,,MovingAverage,,79.0,CDs ,79.0,,False
2017-12-18,138.0,138.0,,MovingAverage,,138.0,CDs ,138.0,,False
