Category Name,avg_weekly_demand,demand_std,lead_time_mean,lead_time_std,avg_unit_price,lead_time_weeks,lead_time_weeks_std,safety_stock,recorder_point,annual_demand,holding_cost_per_unit,eoq
Baby ,89.7,0.0,3.08,1.82,59.08,0.44,0.26,38.37,77.81,4664.4,11.82,198.68
Basketball,21.77,0.0,3.46,1.55,318.64,0.49,0.22,7.93,18.7,1132.3,63.73,42.15
Books ,263.25,0.0,3.31,1.82,31.08,0.47,0.26,112.76,237.19,13689.0,6.22,469.28
CDs ,117.43,0.0,3.42,1.72,11.29,0.49,0.25,47.56,105.01,6106.53,2.26,520.04
Cameras ,256.53,0.0,3.32,1.6,424.98,0.47,0.23,96.54,218.36,13339.73,85.0,125.28
Children's Clothing,282.53,0.0,3.59,1.64,357.1,0.51,0.23,108.84,253.7,14691.73,71.42,143.43
Computers,191.53,0.0,3.61,1.61,424.98,0.52,0.23,72.66,171.39,9959.73,85.0,108.25
Consumer Electronics,186.77,0.0,3.39,1.74,252.88,0.48,0.25,76.26,166.64,9711.87,50.58,138.57
Crafts,209.73,0.0,3.57,1.61,424.98,0.51,0.23,79.37,186.22,10906.13,85.0,113.28
DVDs,156.98,0.0,3.62,1.61,164.38,0.52,0.23,59.26,140.37,8162.7,32.88,157.57
Garden,314.6,0.0,3.47,1.69,424.98,0.5,0.24,124.8,280.61,16359.2,85.0,138.73
Golf Bags & Carts,4.41,0.0,3.33,1.59,169.99,0.48,0.23,1.64,3.74,229.09,34.0,25.96
Health and Beauty,156.87,0.0,3.44,1.6,293.04,0.49,0.23,59.08,136.27,8157.07,58.61,117.97
Men's Clothing,135.2,0.0,3.39,1.7,210.85,0.48,0.24,54.16,119.72,7030.4,42.17,129.12
Music,188.07,0.0,3.46,1.66,260.65,0.49,0.24,73.56,166.41,9779.47,52.13,136.97
Pet Supplies,213.2,0.0,3.34,1.74,84.4,0.48,0.25,86.94,188.71,11086.4,16.88,256.28
Sporting Goods,116.03,0.0,3.46,1.69,327.75,0.49,0.24,46.07,103.36,6033.3,65.55,95.94
Toys,171.93,0.0,3.5,1.64,11.54,0.5,0.23,66.26,152.2,8940.1,2.31,622.38
Video Games,217.88,0.0,3.56,1.68,39.75,0.51,0.24,86.16,197.03,11329.76,7.95,377.51
Women's Clothing,281.67,0.0,3.51,1.7,215.82,0.5,0.24,112.48,253.62,14646.67,43.16,184.21
